"","ID","CustomerAge","Churn","CHIScoreMonth0","CHIScoreMonth0_1","SupportCasesMonth0","SupportCasesMonth0_1","SPMonth0","SPMonth0_1","Logins0_1","LogArticles0_1","Views0_1","DaysSinceLastLogin0_1","CHIScoreMonth1","SupportCasesMonth1","SPMonth1","logVarSel_churnData_Prob"
"6346",2287,0.507462686567164,0,0.761744966442953,0.396396396396396,0.15625,0.566666666666667,0.7,0.85,0.262521588946459,0.243150684931507,0.00214117865314452,0.913963328631876,0.709677419354839,0,0,0.961522777639023
"6347",357,0.17910447761194,1,0.681208053691275,0.45045045045045,0.21875,0.583333333333333,0.71428571425,0.482142857125,0.329015544041451,0.25,0,0.918194640338505,0.574193548387097,0.032258064516129,0.75,0.932933631582084
"5827",109,0.597014925373134,0,0,0,0,0.483333333333333,0,0.5,0.246113989637306,0.256849315068493,0.108628099684621,0.922425952045134,0.403225806451613,0,0,0.927854564281179
"1170",1971,0.447761194029851,0,0,0.036036036036036,0,0.483333333333333,0,0.5,0.233160621761658,0.256849315068493,0.109729608558531,0.923836389280677,0.364516129032258,0,0,0.900023145858582
"2454",76,0.671641791044776,0,0.00335570469798658,0.165165165165165,0,0.483333333333333,0,0.5,0.246977547495682,0.253424657534247,0.109462927462742,0.918194640338505,0.229032258064516,0,0,0.869295009622012
"6345",929,0.164179104477612,0,0.412751677852349,0.48048048048048,0,0.483333333333333,0,0.5,0.259067357512953,0.26027397260274,0.0298180384639169,0.902679830747532,0.283870967741935,0,0,0.864417706245498
"1719",2076,0.432835820895522,0,0.0973154362416107,0.168168168168168,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109536361387669,0.957686882933709,0.316129032258064,0,0,0.858164637503753
"2431",1,1,0,0,0.375375375375375,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109462927462742,0.957686882933709,0,0,0,0.852102218997663
"4857",299,0.208955223880597,1,0.0469798657718121,0.0720720720720721,0,0.483333333333333,0,0.5,0.249568221070812,0.253424657534247,0.109401088368066,0.926657263751763,0.370967741935484,0,0,0.850607918991604
"6325",2025,0.417910447761194,0,0.0604026845637584,0.33033033033033,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.0915527796673057,0.957686882933709,0.106451612903226,0,0,0.849588185838689
"2123",1520,0.522388059701492,0,0,0.174174174174174,0,0.483333333333333,0,0.5,0.249568221070812,0.256849315068493,0.109482252179828,0.916784203102962,0.216129032258065,0,0,0.839775319025587
"2636",1363,0.611940298507463,1,0,0.273273273273273,0,0.483333333333333,0,0.5,0.245250431778929,0.256849315068493,0.109462927462742,0.950634696755994,0.109677419354839,0,0,0.838112309059223
"2096",2680,0.402985074626866,0,0.00671140939597315,0.159159159159159,0,0.483333333333333,0,0.5,0.244386873920553,0.25,0.109486117123245,0.918194640338505,0.238709677419355,0,0,0.831525145834926
"1369",3340,0.149253731343284,1,0.0503355704697987,0.0600600600600601,0,0.483333333333333,0,0.5,0.209844559585492,0.253424657534247,0.1096329849731,0.913963328631876,0.387096774193548,0,0,0.831335197324641
"1094",1286,0.328358208955224,0,0.0671140939597315,0.144144144144144,0,0.483333333333333,0,0.5,0.251295336787565,0.25,0.109779852822955,0.930888575458392,0.312903225806452,0,0,0.830802010436571
"2223",2244,0.522388059701492,0,0.0536912751677852,0.261261261261261,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109474522292994,0.957686882933709,0.174193548387097,0,0,0.828802427275526
"2435",14,0.850746268656716,0,0,0.375375375375375,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109462927462742,0.957686882933709,0,0,0,0.827633123345088
"1979",1574,0.26865671641791,0,0.0100671140939597,0.114114114114114,0,0.483333333333333,0,0.5,0.244386873920553,0.253424657534247,0.109497711953497,0.912552891396333,0.290322580645161,0,0,0.826079902844977
"4430",18,0.82089552238806,0,0,0.375375375375375,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109455197575907,0.957686882933709,0,0,0,0.822407847185026
"2432",3,0.82089552238806,0,0,0.375375375375375,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109462927462742,0.957686882933709,0,0,0,0.822371315477932
"1345",2242,0.522388059701492,0,0.204697986577181,0.162162162162162,0,0.483333333333333,0,0.5,0.2426597582038,0.246575342465753,0.109640714859934,0.923836389280677,0.425806451612903,0,0,0.821943482137996
"5072",1929,0.417910447761194,0,0.023489932885906,0.255255255255255,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109346979160225,0.957686882933709,0.151612903225806,0,0,0.820181835854195
"2436",21,0.805970149253731,0,0,0.375375375375375,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109462927462742,0.957686882933709,0,0,0,0.819693550154136
"4445",1287,0.328358208955224,0,0.0805369127516778,0.159159159159159,0,0.466666666666667,0,0.125,0.247841105354059,0.253424657534247,0.109455197575907,0.947813822284908,0.309677419354839,0.032258064516129,0.75,0.81913538469325
"2291",2481,0.283582089552239,0,0.0704697986577181,0.0930930930930931,0,0.466666666666667,0,0.125,0.245250431778929,0.23972602739726,0.109470657349576,0.915373765867419,0.370967741935484,0.032258064516129,0.75,0.817996338142216
"2598",1021,0.194029850746269,1,0.0402684563758389,0.156156156156156,0,0.483333333333333,0,0.5,0.249568221070812,0.253424657534247,0.109462927462742,0.93935119887165,0.274193548387097,0,0,0.815360823251159
"5092",128,0.611940298507463,0,0.104026845637584,0.297297297297297,0,0.483333333333333,0,0.5,0.253022452504318,0.256849315068493,0.109339249273391,0.957686882933709,0.183870967741935,0,0,0.813872206297938
"6329",2913,0.358208955223881,0,0.194630872483221,0.246246246246246,0,0.483333333333333,0,0.5,0.252158894645941,0.256849315068493,0.0870578504730691,0.898448519040903,0.325806451612903,0,0,0.813287548163935
"1535",10,0.835820895522388,0,0.261744966442953,0.264264264264264,0,0.483333333333333,0,0.5,0.246977547495682,0.256849315068493,0.109578875765259,0.933709449929478,0.370967741935484,0,0,0.813028618196155
"6199",3604,0.134328358208955,1,0,0.141141141141141,0,0.483333333333333,0,0.5,0.249568221070812,0.25,0.105926504235978,0.918194640338505,0.251612903225806,0,0,0.812712565149318
"5143",2546,0.26865671641791,0,0.0268456375838926,0.117117117117117,0,0.466666666666667,0,0.125,0.245250431778929,0.253424657534247,0.109319924556305,0.922425952045134,0.303225806451613,0.032258064516129,0.75,0.812624526389708
"1701",2922,0.358208955223881,1,0.0436241610738255,0.219219219219219,0,0.483333333333333,0,0.5,0.252158894645941,0.256849315068493,0.109540226331087,0.944992947813822,0.209677419354839,0,0,0.810578808911499
